year,weekly_hours,skill_python,skill_data_analysis,skill_statistics,skill_visualization,skill_ml,skill_writing,skill_research,skill_presenting,role_pref,deadline_style,checkin_freq,collab_style,detail_orientation,gpa_band,avail_mon,avail_tue,avail_wed,avail_thu,avail_fri,avail_sat,avail_sun,avail_morning,avail_afternoon,avail_evening,avail_latenight,meeting_inperson,meeting_remote,meeting_nopref,comm_text,comm_email,comm_discord,comm_video,comm_inperson,conflict_direct,conflict_private,conflict_natural,conflict_defer,pain_schedule,pain_workload,pain_conflict,pain_communication,pain_motivation,contrib_technical,contrib_creative,contrib_organization,contrib_writing,contrib_morale,contrib_qa
0.5,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.9999999999999999,0.25,0.25,0.33333333333333337,0.9999999999999999,0.75,0.6666666666666667,0.0,0.0,0.5,0.75,1.0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
0.5,0.6666666666666667,1.0,1.0,0.6666666666666666,0.75,0.5,0.6666666666666666,0.33333333333333337,0.25,1.0,0.0,0.6666666666666667,0.5,0.75,0.0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
0.5,0.3333333333333333,1.0,1.0,0.33333333333333337,0.5,0.75,0.0,0.33333333333333337,0.25,0.0,0.0,0.3333333333333333,0.5,0.75,1.0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
0.25,0.3333333333333333,1.0,1.0,0.9999999999999999,0.5,1.0,0.6666666666666666,0.0,0.25,1.0,0.5,0.6666666666666667,0.5,0.25,1.0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0.5,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.5,0.75,0.6666666666666666,0.9999999999999999,0.75,0.6666666666666667,0.0,0.6666666666666667,0.5,0.75,1.0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1
0.5,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.5,0.5,0.33333333333333337,0.6666666666666666,0.25,0.3333333333333333,1.0,0.6666666666666667,0.5,0.5,1.0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
0.0,0.3333333333333333,1.0,1.0,0.9999999999999999,0.5,0.5,0.6666666666666666,0.0,0.25,0.3333333333333333,1.0,0.6666666666666667,1.0,1.0,1.0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0.5,0.3333333333333333,0.0,0.6666666666666667,0.33333333333333337,0.25,0.25,0.33333333333333337,0.33333333333333337,0.25,0.0,0.5,0.6666666666666667,0.5,0.5,1.0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
0.5,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.5,0.25,0.33333333333333337,0.33333333333333337,0.75,0.0,0.5,0.6666666666666667,0.5,0.5,0.0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
0.25,0.0,0.6666666666666667,0.6666666666666667,0.9999999999999999,0.5,0.5,0.33333333333333337,0.33333333333333337,0.5,0.6666666666666667,0.5,1.0,0.5,1.0,0.5,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
0.25,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.0,0.75,0.5,0.9999999999999999,0.9999999999999999,1.0,1.0,0.0,0.6666666666666667,0.0,0.75,1.0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0.5,0.3333333333333333,0.0,0.0,0.33333333333333337,0.75,0.75,0.33333333333333337,0.9999999999999999,1.0,0.3333333333333333,0.0,0.6666666666666667,0.5,0.25,1.0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
